word,weight
addictive,5
adventure,5
adventures,5
ambitious,2
angry,5
animation,2
army,5
assassin,10
attack,10
battle,5
battles,5
beat,10
blade,10
blades,10
bomb,5
bombs,5
challenging,2
conquer,5
dangerous,5
darkness,2
dead,10
deadly,5
defeat,5
destroy,5
destroying,5
devil,10
devils,10
disguises,2
dodge,5
dragon,2
dragons,2
enemies,5
enemy,5
hit,5
intense,5
jump ,2
kill,10
killing,10
legend,2
legendary,2
legends,2
magic,2
master,2
mission,2
obediently,2
obstacles,2
run,2
samurai,5
shoot,10
shot,10
sneak,5
sneaking,5
survive,5
sword,10
terrible,2
tournament,2
warrior,5
warriors,5
weakness,2
weapon,10
weapons,10
zombies,5