word,tag,frequency,keepornot
game,NN,23332,0
is,VBZ,21373,0
http,NN,11093,0
are,VBP,10911,0
be,VB,8195,0
more,JJR,7632,0
play,VB,7185,0
games,NNS,7175,0
new,JJ,7040,1
free,JJ,6496,1
https,NN,5287,0
friends,NNS,4965,1
other,JJ,4667,0
not,RB,4583,0
world,NN,4569,0
have,VBP,4332,0
real,JJ,4270,0
levels,NNS,4095,1
players,NNS,4090,1
app,NN,3866,0
fun,NN,3735,1
get,VB,3664,0
Play,NNP,3588,0
time,NN,3547,0
Facebook,NNP,3499,1
up,RP,3454,1
different,JJ,3421,1
best,JJS,3313,1
has,VBZ,3176,0
money,NN,3040,1
items,NNS,2847,1
also,RB,2738,0
Game,NNP,2640,1
available,JJ,2601,1
way,NN,2549,1
out,RP,2403,1
now,RB,2295,1
device,NN,2277,1
make,VB,2249,1
unique,JJ,2246,1
use,VB,2230,0
Google,NNP,2227,1
puzzles,NNS,2226,1
play,NN,2222,1
own,JJ,2172,1
help,VB,2152,1
skills,NNS,2139,1
in-app,JJ,2130,0
mode,NN,2127,1
more,RBR,2125,0
's,VBZ,2125,0
graphics,NNS,2120,1
purchases,NNS,2093,1
features,NNS,2089,1
Android,NNP,2075,0
word,NN,2058,1
many,JJ,2044,0
level,NN,2009,1
@,NNP,2001,0
find,VB,1991,1
support,NN,1960,1
characters,NNS,1960,1
even,RB,1914,1
playing,VBG,1912,1
experience,NN,1892,1
special,JJ,1885,1
just,RB,1855,0
battle,NN,1846,1
puzzle,NN,1812,1
n't,RB,1794,0
take,VB,1759,1
social,JJ,1749,1
only,RB,1741,0
have,VB,1728,0
information,NN,1727,1
gameplay,NN,1726,0
please,VB,1719,0
most,RBS,1701,0
player,NN,1630,0
enemies,NNS,1619,1
words,NNS,1597,1
such,JJ,1576,0
win,VB,1549,1
devices,NNS,1542,1
using,VBG,1525,0
Terms,NNS,1520,1
THE,NNP,1480,0
see,VB,1472,1
Policy,NNP,1471,1
music,NN,1461,1
adventure,NN,1457,1
powerful,JJ,1451,1
New,NNP,1440,1
do,VBP,1426,0
easy,JJ,1420,1
application,NN,1417,1
Twitter,NNP,1416,1
including,VBG,1394,1
FREE,NNP,1391,1
weapons,NNS,1390,1
mobile,JJ,1373,1
use,NN,1371,1
kids,NNS,1359,1
action,NN,1357,1
want,VBP,1343,1
as,RB,1341,0
choose,VB,1333,1
so,RB,1331,0
screen,NN,1331,1
Features,NNS,1328,1
unlock,VB,1304,1
*,JJ,1298,0
full,JJ,1291,1
cards,NNS,1284,1
Policy,NN,1277,1
data,NNS,1270,1
version,NN,1267,1
great,JJ,1255,1
Facebook,NN,1240,1
Play,VB,1239,1
does,VBZ,1233,0
very,RB,1226,0
strategy,NN,1212,1
up,RB,1202,0
Privacy,NNP,1189,1
system,NN,1182,1
become,VB,1172,1
Use,NNP,1159,0
rewards,NNS,1158,1
poker,NN,1157,1
content,NN,1157,1
score,NN,1140,1
card,NN,1131,1
Service,NNP,1126,1
children,NNS,1110,1
Use,NN,1109,0
connection,NN,1105,1
A,NNP,1105,0
*,NN,1100,0
learn,VB,1092,1
online,NN,1092,1
keep,VB,1081,1
Please,NNP,1076,1
updates,NNS,1057,1
then,RB,1048,0
enjoy,VB,1048,1
create,VB,1043,1
simple,JJ,1039,1
Games,NNP,1038,1
love,VB,1034,1
number,NN,1034,1
been,VBN,1031,0
same,JJ,1027,0
're,VBP,1005,0
favorite,JJ,995,1
achievements,NNS,993,1
in-game,JJ,990,0
latest,JJS,989,1
settings,NNS,968,1
team,NN,964,1
first,JJ,960,1
board,NN,959,1
always,RB,957,1
save,VB,952,1
Bingo,NNP,949,1
modes,NNS,945,1
points,NNS,939,1
*,NNP,938,0
high,JJ,936,1
never,RB,935,1
additional,JJ,934,1
challenging,VBG,932,1
questions,NNS,929,1
well,RB,924,1
story,NN,921,1
note,NN,921,1
power,NN,915,1
access,NN,911,1
ultimate,JJ,911,1
US,NNP,911,1
YOUR,NNP,908,1
classic,JJ,907,1
hidden,JJ,906,1
Mode,NNP,902,1
addictive,JJ,897,1
phone,NN,892,1
button,NN,888,1
news,NN,886,1
battles,NNS,885,1
bonus,NN,884,1
back,RB,883,1
Games,NNPS,880,1
original,JJ,872,1
coins,NNS,871,1
enemy,NN,870,1
success,NN,870,1
],NNP,870,0
beautiful,JJ,868,1
>,NNP,865,0
brain,NN,864,1
down,RP,862,1
required,VBN,862,1
links,NNS,858,1
feature,NN,857,1
help,NN,856,1
TO,NNP,855,1
need,VBP,854,1
services,NNS,847,1
challenge,NN,846,1
life,NN,844,1
solve,VB,843,1
ads,NNS,839,1
try,VB,838,1
Battle,NNP,838,1
ready,JJ,837,1
completely,RB,836,1
off,RP,834,1
start,VB,832,1
extra,JJ,829,1
download,VB,829,1
Twitter,NN,829,1
color,NN,828,1
make,VBP,827,1
next,JJ,826,1
progress,NN,825,1
people,NNS,823,1
AND,NNP,822,0
Download,NNP,821,1
English,NNP,818,1
stars,NNS,814,1
based,VBN,813,1
User,NNP,811,1
together,RB,810,1
users,NNS,808,1
missions,NNS,807,1
today,NN,805,1
earn,VB,805,1
collect,VB,803,1
controls,NNS,802,1
day,NN,800,1
purchase,VB,800,1
character,NN,798,1
improve,VB,797,1
ever,RB,796,1
casino,NN,795,1
products,NNS,793,1
FEATURES,NNP,793,1
contact,VB,790,1
option,NN,790,1
problems,NNS,788,1
opponents,NNS,776,1
go,VB,773,1
style,NN,771,1
songs,NNS,766,1
License,NNP,763,1
Get,NNP,763,1
Collect,NNP,762,1
difficulty,NN,762,1
used,VBN,760,1
big,JJ,759,1
fun,JJ,759,1
allows,VBZ,758,1
play,VBP,755,1
order,NN,754,1
effects,NNS,753,1
multiplayer,NN,753,1
Privacy,NN,746,1
objects,NNS,746,1
multiple,JJ,740,1
possible,JJ,735,1
good,JJ,735,1
internet,NN,732,1
awesome,JJ,727,1
give,VB,727,1
App,NNP,726,0
challenges,NNS,725,1
played,VBN,724,1
city,NN,724,1
sure,JJ,721,1
build,VB,721,1
here,RB,721,1
worlds,NNS,719,1
personal,JJ,716,1
purchased,VBN,714,1
contains,VBZ,714,1
perfect,JJ,713,1
Follow,NNP,711,1
World,NNP,709,1
official,JJ,709,1
fan,NN,708,1
PLAY,NNP,707,1
defense,NN,706,1
virtual,JJ,704,1
everything,NN,704,1
Poker,NNP,703,1
types,NNS,701,1
share,NN,697,1
variety,NN,697,1
various,JJ,697,1
account,NN,697,1
*,VB,696,0
get,VBP,695,0
intended,VBN,692,1
letters,NNS,689,1
war,NN,687,1
events,NNS,687,1
hours,NNS,684,1
heroes,NNS,680,1
top,JJ,676,1
Easy,NNP,676,1
scores,NNS,675,1
was,VBD,671,1
love,VBP,670,1
combat,NN,666,1
suggestions,NNS,664,1
too,RB,663,1
buy,VB,660,1
monsters,NNS,659,1
exciting,VBG,656,1
hand,NN,656,1
Studios,NNP,656,1
Join,NNP,656,1
party,NN,655,1
gaming,NN,653,1
designed,VBN,652,1
tablet,NN,650,1
much,RB,649,1
slot,NN,649,1
Free,NNP,648,1
permission,NN,645,1
age,NN,644,1
right,JJ,643,1
Agreement,NNP,641,1
army,NN,638,1
family,NN,637,1
Fun,NNP,637,1
waiting,VBG,637,1
Super,NNP,637,1
challenge,VB,637,1
feedback,NN,635,1
complete,VB,632,1
requires,VBZ,632,1
hear,VB,629,1
takes,VBZ,626,1
privacy,NN,623,1
let,VB,623,1
able,JJ,622,1
abilities,NNS,620,1
terms,NNS,619,1
Do,VBP,617,1
apps,NN,617,1
GAME,NNP,615,1
Now,RB,612,1
More,JJR,612,1
child,NN,609,1
Word,NNP,595,1
network,NN,593,1
away,RB,592,1
everyone,NN,592,1
HD,NNP,591,0
educational,JJ,591,1
little,JJ,590,1
Unlock,NNP,588,1
send,VB,586,1
guess,VB,583,1
daily,JJ,581,1
quality,NN,580,1
purchase,NN,580,1
years,NNS,579,1
audience,NN,578,1
locations,NNS,578,1
Challenge,NNP,576,1
join,VB,576,1
third,JJ,575,1
tablets,NNS,575,1
know,VB,574,1
animals,NNS,573,1
popular,JJ,573,1
War,NNP,573,1
community,NN,572,1
design,NN,572,1
amazing,JJ,570,1
Best,NNP,570,1
leaderboards,NNS,561,1
really,RB,561,1
Support,NNP,559,1
Take,VB,558,1
exciting,JJ,558,1
Star,NNP,554,1
subject,JJ,551,1
governed,VBN,550,1
series,NN,541,1
better,JJR,540,1
Saga,NNP,540,1
WITH,NNP,540,0
bonuses,NNS,539,1
memory,NN,538,1
search,NN,537,1
sound,NN,537,1
colors,NNS,535,1
Heroes,NNP,534,1
others,NNS,532,1
hard,JJ,531,1
Use,VB,531,0
resources,NNS,530,1
old,JJ,527,1
do,VB,525,0
having,VBG,525,1
contain,VB,522,1
online,JJ,522,1
speed,NN,522,1
Storm8,NNP,521,0
FOR,NNP,521,1
least,JJS,521,1
art,NN,520,1
cool,JJ,519,1
explore,VB,519,1
going,VBG,518,1
fight,NN,517,1
certain,JJ,513,1
Get,VB,512,1
ability,NN,511,1
match,NN,509,1
numbers,NNS,507,1
Store,NNP,505,1
Solitaire,NNP,503,1
slots,NNS,500,1
control,NN,499,1
future,JJ,496,1
issues,NNS,496,1
policies,NNS,495,1
Just,NNP,495,1
single,JJ,495,1
languages,NNS,493,1
lots,NNS,493,1
Slots,NNP,493,1
FREE,JJ,492,1
space,NN,491,1
check,VB,489,1
addition,NN,489,1
feel,VB,488,1
Free,JJ,488,1
Mobile,NNP,487,1
difficult,JJ,487,1
Settings,NNP,487,1
follow,VB,486,1
downloading,VBG,486,1
includes,VBZ,484,1
tiles,NNS,484,1
moves,NNS,484,1
Vegas,NNP,484,1
OF,NNP,483,1
place,NN,483,1
food,NN,483,1
Inc.,NNP,481,0
fans,NNS,481,1
@,JJ,480,0
whole,JJ,480,1
zombies,NNS,479,1
epic,NN,478,1
select,JJ,477,1
hundreds,NNS,477,1
site,NN,477,1
lot,NN,475,1
obstacles,NNS,473,1
page,NN,473,1
Internet,NNP,473,1
Enjoy,NNP,472,1
All,NNP,472,1
require,VB,471,1
part,NN,470,1
need,VB,470,1
TRUE,JJ,467,0
Portuguese,NNP,465,1
've,VBP,464,0
Play,NN,464,1
Direct,JJ,462,1
features,VBZ,462,1
sounds,NNS,462,1
few,JJ,462,1
small,JJ,462,1
RPG,NNP,461,1
disable,VB,461,1
/,NNP,461,0
collection,NN,460,1
Texas,NNP,459,1
rooms,NNS,458,1
yet,RB,458,1
bubbles,NNS,456,1
much,JJ,456,1
tournaments,NNS,456,1
quiz,NN,456,1
Join,VB,454,1
hero,NN,454,1
opportunity,NN,453,1
map,NN,453,1
master,VB,452,1
touch,NN,452,1
video,NN,451,1
making,VBG,451,1
coming,VBG,449,1
offer,VB,449,1
global,JJ,449,1
Puzzle,NNP,448,1
huge,JJ,446,1
right,RB,445,1
Story,NNP,444,1
upgrade,VB,444,1
zombie,NN,444,1
Glu,NNP,443,1
show,VB,442,1
%,NN,442,0
piano,NN,442,1
phones,NNS,442,1
comments,NNS,441,1
reach,VB,441,1
again,RB,441,1
chips,NNS,440,1
advertising,NN,440,1
powers,NNS,440,1
soundtrack,NN,439,1
once,RB,439,1
NEW,NNP,439,1
media,NNS,438,1
prizes,NNS,438,1
skill,NN,436,1
Fight,NNP,436,1
higher,JJR,435,1
made,VBN,435,1
French,NNP,435,1
mission,NN,435,1
journey,NN,433,1
[,NNP,433,0
physics,NNS,432,1
object,NN,432,1
defeat,VB,432,1
Compete,NNP,432,1
rules,NNS,431,1
Visit,NNP,430,1
super,JJ,430,1
Run,NNP,430,1
list,NN,430,1
highest,JJS,428,1
Then,RB,427,1
Galaxy,NNP,427,1
pay,VB,425,1
problem,NN,425,1
looking,VBG,425,1
tower,NN,424,1
run,VB,423,1
complete,JJ,423,1
menu,NN,422,1
offers,VBZ,422,1
Casino,NNP,422,1
advertisements,NNS,421,1
Try,VB,420,1
last,JJ,419,1
Have,VBP,419,1
IN,NNP,417,1
machines,NNS,416,1
French,JJ,416,1
fight,VB,415,1
machine,NN,414,1
upgrades,NNS,414,1
Practice,NNP,414,1
download,NN,413,1
include,VB,412,1
come,VB,412,1
endless,JJ,411,1
Tap,NNP,411,1
bring,VB,411,1
being,VBG,409,1
realistic,JJ,408,1
Discover,NNP,407,1
playing,NN,406,1
mysterious,JJ,406,1
soon,RB,406,1
change,VB,406,1
discover,VB,406,1
Earn,NNP,405,1
TV,NN,404,1
want,VB,404,1
English,JJ,403,1
beat,VB,403,1
campaign,NN,402,1
videos,NNS,400,1
website,NN,399,1
friend,NN,399,1
watch,VB,398,1
name,NN,398,1
German,NNP,396,1
optional,JJ,396,1
turn,VB,395,1
mystery,NN,395,1
finger,NN,395,1
things,NNS,395,1
dont,VBP,394,1
So,RB,394,1
table,NN,393,1
Build,NNP,393,1
only,JJ,393,1
networking,NN,390,1
end,NN,390,1
dice,NN,389,1
Defense,NNP,389,1
PvP,NNP,389,1
evil,JJ,388,1
baby,NN,387,1
know,VBP,387,1
Multiplayer,NNP,387,1
password,NN,386,1
intuitive,JJ,386,1
Be,VB,384,1
move,VB,384,1
Cartoon,NNP,384,1
bosses,NNS,382,1
something,NN,381,1
secret,JJ,381,1
running,VBG,379,1
go,VBP,379,1
bingo,NN,378,1
Online,NNP,378,1
pick,VB,378,1
shooter,NN,377,1
stage,NN,376,1
pieces,NNS,375,1
Find,NNP,375,1
Thank,NNP,375,1
fast,RB,375,1
winning,VBG,374,1
gambling,VBG,374,1
comes,VBZ,374,1
far,RB,373,1
hints,NNS,373,1
legendary,JJ,373,1
challenging,JJ,373,1
exclusive,JJ,373,1
quickly,RB,373,1
millions,NNS,373,1
Spanish,NNP,372,1
Also,RB,371,1
Make,NNP,371,1
were,VBD,371,1
thousands,NNS,371,1
[,JJ,370,0
movie,NN,369,1
attack,NN,369,1
tips,NNS,369,1
visit,NN,368,1
tons,NNS,367,1
interface,NN,367,1
filled,VBN,367,1
find,VBP,365,1
user,NN,365,1
Kids,NNP,365,1
Choose,VB,364,1
customers,NNS,364,1
fighting,VBG,364,1
Mobiles,NNP,364,1
shooting,VBG,363,1
car,NN,362,1
learning,VBG,362,1
added,VBN,362,1
Spanish,JJ,362,1
line,NN,362,1
tap,VB,361,1
pictures,NNS,360,1
work,NN,359,1
fully,RB,359,1
attacks,NNS,359,1
add,VB,358,1
service,NN,357,1
City,NNP,357,1
opponent,NN,357,1
Social,NNP,357,1
kill,VB,356,1
*,VBP,355,0
fun,VBN,354,1
support,VB,354,1
increase,VB,354,1
LEGO,NNP,353,1
think,VBP,353,1
OS,NNP,353,1
Cookie,NNP,353,1
makes,VBZ,353,1
please,NN,352,1
gold,NN,351,1
top,NN,351,1
customize,VB,350,1
look,NN,349,1
King,NNP,349,1
alone,RB,349,1
already,RB,348,1
>,NN,348,0
like,VBP,347,1
chance,NN,347,1
Bonus,NNP,347,1
imply,VB,347,1
epic,JJ,346,1
Network,NNP,345,1
set,NN,345,1
room,NN,345,1
third-party,JJ,344,1
knowledge,NN,344,1
range,NN,344,1
still,RB,343,1
stop,VB,343,1
Choose,NNP,343,1
uses,VBZ,342,1
immersive,JJ,342,1
Connect,NNP,340,1
read,VB,340,1
unlock,JJ,340,1
rights,NNS,339,1
compete,VB,338,1
test,VB,337,1
easily,RB,336,1
animations,NNS,335,1
Dont,NNP,335,1
youre,NN,335,1
gambling,NN,334,1
anywhere,RB,334,1
Daily,NNP,334,1
@,NN,333,0
contact,NN,333,1
Full,NNP,333,1
put,VB,331,1
logo,NN,331,1
ages,NNS,331,1
song,NN,330,1
home,NN,330,1
US,NN,330,1
NOW,NNP,330,1
amount,NN,328,1
cities,NNS,328,1
environments,NNS,327,1
options,NNS,327,1
Russian,NNP,326,1
mobile,NN,326,1
letter,NN,325,1
visuals,NNS,325,1
avoid,VB,325,1
power-ups,NNS,324,1
kingdom,NN,324,1
Ninja,NNP,324,1
connect,VB,324,1
Wars,NNP,324,1
jump,NN,324,1
guns,NNS,324,1
candy,NN,323,1
picture,NN,323,1
important,JJ,323,1
created,VBN,322,1
earn,VBP,321,1
dozens,NNS,321,1
Entertainment,NNP,320,1
AI,NNP,318,1
got,VBD,318,1
side,NN,318,1
cash,NN,317,1
Search,NNP,316,1
star,NN,316,1
tables,NNS,315,1
elements,NNS,315,1
island,NN,315,1
develop,VB,314,1
visual,JJ,314,1
days,NNS,314,1
Help,NNP,313,1
Big,NNP,313,1
race,NN,312,1
blog,NN,312,1
colorful,JJ,312,1
cars,NNS,311,1
funny,JJ,311,1
deck,NN,311,1
development,NN,311,1
set,VBN,311,1
destroy,VB,310,1
rich,JJ,309,1
gorgeous,JJ,308,1
long,JJ,308,1
rare,JJ,308,1
inside,JJ,307,1
victory,NN,306,1
Great,NNP,306,1
following,JJ,306,1
real-time,JJ,305,1
most,JJS,304,1
adventures,NNS,304,1
Holdem,NNP,304,1
stunning,VBG,304,1
left,VBD,304,1
school,NN,303,1
main,JJ,303,1
Chinese,NNP,302,1
Classic,NNP,302,1
app,JJ,301,1
Time,NNP,301,1
hands,NNS,300,1
stages,NNS,300,1
experience,VB,300,1
towers,NNS,299,1
love,NN,298,1
policy,NN,298,1
data,NN,298,1
choice,NN,297,1
trade,NN,297,1
direct,JJ,297,1
famous,JJ,297,1
potential,JJ,296,1
needed,VBN,296,1
rate,NN,296,1
units,NNS,296,1
country,NN,295,1
wrong,JJ,295,1
quick,JJ,295,1
Hidden,NNP,294,1
empire,NN,293,1
Are,NNP,293,1
stunning,JJ,292,1
alliances,NNS,292,1
equipment,NN,292,1
Italian,JJ,292,1
Master,NNP,292,1
Zombie,NNP,292,1
tap,NN,291,1
weekly,JJ,290,1
German,JJ,290,1
anything,NN,290,1
Dice,NNP,289,1
quests,NNS,289,1
however,RB,289,1
However,RB,289,1
magical,JJ,289,1
Special,JJ,288,1
Italian,NNP,288,1
brand,NN,288,1
master,NN,288,1
base,NN,287,1
wide,JJ,287,1
Collection,NNP,287,1
Candy,NNP,286,1
details,NNS,285,1
FUN,NNP,285,1
versions,NNS,285,1
purposes,NNS,285,1
house,NN,285,1
tools,NNS,285,1
performance,NN,285,1
scoop,NN,284,1
language,NN,284,1
type,NN,283,1
goal,NN,283,1
long,RB,283,1
countries,NNS,283,1
trying,VBG,282,1
Create,NNP,282,1
maps,NNS,281,1
goes,VBZ,280,1
ways,NNS,280,1
Music,NNP,279,1
End,NNP,279,1
web,JJ,279,1
advanced,JJ,278,1
large,JJ,278,1
defend,VB,278,1
deep,JJ,278,1
escape,NN,278,1
delicious,JJ,278,1
conquer,VB,277,1
trailers,NNS,277,1
trademarks,NNS,277,1
info,NNS,277,1
Official,NNP,277,1
boss,NN,277,1
amazing,VBG,277,1
Leaderboards,NNP,277,1
sound,JJ,277,1
Magic,NNP,277,1
Features,NNP,276,1
location,NN,276,1
ON,NNP,276,1
>,JJ,276,0
mind,NN,276,1
buildings,NNS,275,1
set,VB,275,1
enhance,VB,275,1
voice,NN,275,1
Zynga,NNP,275,1
faster,RBR,275,1
times,NNS,275,1
Japanese,JJ,275,1
weapon,NN,275,1
Match,NNP,274,1
browse,VB,274,1
parents,NNS,274,1
getting,VBG,274,1
Win,NNP,274,1
interactive,JJ,274,1
packs,NNS,273,1
give,VBP,273,1
notes,NNS,273,1
massive,JJ,273,1
jump,VB,273,1
fashion,NN,273,1
gain,VB,272,1
MULTIPLAYER,NNP,272,1
fire,NN,272,1
Build,VB,272,1
grow,VB,271,1
remove,VB,271,1
supported,VBN,270,1
right,NN,270,1
gifts,NNS,270,1
Advertising,NN,270,1
Jump,NNP,270,1
creativity,NN,270,1
random,JJ,270,1
live,JJ,269,1
collect,VBP,268,1
night,NN,267,1
math,NN,267,1
optimized,VBN,267,1
Power,NNP,267,1
unlimited,JJ,266,1
active,JJ,266,1
Guess,NNP,265,1
sites,NNS,265,1
permissions,NNS,265,1
use,VBP,265,1
need,NN,264,1
prove,VB,264,1
Instagram,NNP,264,1
Arcade,NNP,264,1
head,NN,264,1
//www.gameloft.com/privacy-notice/Terms,NNS,264,0
store,NN,264,1
Check,VB,263,1
images,NNS,263,1
history,NN,263,1
Make,VB,262,1
water,NN,262,1
customer,NN,262,1
training,NN,262,1
Unique,NNP,261,1
control,VB,261,1
Rush,NNP,261,1
luck,NN,261,1
dynamic,JJ,260,1
Note,NN,259,1
totally,RB,259,1
castle,NN,259,1
girls,NNS,259,1
toddlers,NNS,258,1
take,VBP,258,1
Korean,NNP,258,1
Simple,NNP,258,1
continue,VB,257,1
troops,NNS,257,1
currency,NN,256,1
provide,VB,256,1
adult,NN,256,1
upcoming,NN,256,1
robots,NNS,256,1
universe,NN,255,1
survive,VB,255,1
select,VB,255,1
enough,RB,255,1
offline,NN,255,1
themes,NNS,255,1
intense,JJ,255,1
names,NNS,255,1
land,NN,254,1
lets,VBZ,254,1
stats,NNS,254,1
entire,JJ,253,1
Pocket,NNP,253,1
Developer,NNP,253,1
escape,VB,252,1
computer,NN,252,1
accessories,NNS,252,1
leaderboard,NN,252,1
//www.gameloft.comFollow,JJ,252,0
Beautiful,NNP,252,1
completing,VBG,251,1
deals,NNS,251,1
secrets,NNS,251,1
Complete,NNP,251,1
email,VB,250,1
strategic,JJ,250,1
email,NN,250,1
restaurant,NN,250,1
management,NN,250,1
person,NN,249,1
See,VB,249,1
test,NN,249,1
blocks,NNS,249,1
ones,NNS,249,1
Tower,NNP,249,1
there,RB,248,1
redirect,VB,247,1
websites,NNS,247,1
move,NN,247,1
YOU,NNP,247,1
allies,NNS,247,1
working,VBG,246,1
